,Average_Score,FC1_Units,FC2_Units,Number_of_Episodes,Use_Double,Use_Dueling
0,13.04,64.0,64.0,360.0,1.0,1.0
1,13.05,64.0,64.0,252.0,1.0,0.0
2,13.05,64.0,64.0,279.0,0.0,1.0
3,13.02,64.0,64.0,249.0,0.0,0.0
4,13.04,64.0,128.0,313.0,1.0,1.0
5,13.01,64.0,128.0,315.0,1.0,0.0
6,13.02,64.0,128.0,300.0,0.0,1.0
7,13.01,64.0,128.0,343.0,0.0,0.0
8,13.02,128.0,64.0,231.0,1.0,1.0
9,13.01,128.0,64.0,346.0,1.0,0.0
10,13.03,128.0,64.0,303.0,0.0,1.0
11,13.06,128.0,64.0,314.0,0.0,0.0
12,13.07,128.0,128.0,233.0,1.0,1.0
13,13.04,128.0,128.0,298.0,1.0,0.0
14,13.01,128.0,128.0,201.0,0.0,1.0
15,13.01,128.0,128.0,310.0,0.0,0.0
